the_geom,long,y,street_2,street_1
"{'type': 'Point', 'coordinates': [-73.72984944290198, 40.66534761169346]}",-73.729849442902,181796.03836064,HOOK CREEK BOULEVARD,SOUTH CONDUIT AVENUE
"{'type': 'Point', 'coordinates': [-73.94475648853391, 40.82403155616314]}",-73.9447564885339,239498.939358816,WEST 145 STREET,ST NICHOLAS AVENUE
"{'type': 'Point', 'coordinates': [-73.925351749641, 40.77202145145675]}",-73.925351749641,220553.833548307,NEWTOWN AVENUE,ASTORIA BOULEVARD
"{'type': 'Point', 'coordinates': [-73.90066994158308, 40.64365991397081]}",-73.9006699415831,173794.669848979,ROCKAWAY PARKWAY,FLATLANDS AVENUE
"{'type': 'Point', 'coordinates': [-73.94281007343203, 40.79413145196437]}",-73.942810073432,228605.617969647,EAST 110 STREET,3 AVENUE
"{'type': 'Point', 'coordinates': [-73.9220713378152, 40.68948984073938]}",-73.9220713378152,190485.790994227,GATES AVENUE,BROADWAY
"{'type': 'Point', 'coordinates': [-73.95639327414828, 40.62572997146799]}",-73.9563932741483,167249.693109557,OCEAN AVENUE,AVENUE J
"{'type': 'Point', 'coordinates': [-74.00955708423369, 40.635492963273485]}",-74.0095570842337,170803.744072303,8 AVENUE,60 STREET
"{'type': 'Point', 'coordinates': [-73.95131894916952, 40.6891318502364]}",-73.9513189491695,190349.502880976,NOSTRAND AVENUE,CLIFTON PLACE
"{'type': 'Point', 'coordinates': [-73.84461984746635, 40.84636016097007]}",-73.8446198474663,247667.383979887,WATERS PLACE,EASTCHESTER ROAD
"{'type': 'Point', 'coordinates': [-74.16050268639435, 40.62652962648199]}",-74.1605026863944,167578.832871228,SUMMERFIELD PLACE,FOREST AVENUE
"{'type': 'Point', 'coordinates': [-73.86917477016037, 40.73413585947956]}",-73.8691747701604,206769.150159732,59 AVENUE,92 STREET
"{'type': 'Point', 'coordinates': [-73.94955688666676, 40.68039040295393]}",-73.9495568866668,187165.016795889,NOSTRAND AVENUE,FULTON STREET
"{'type': 'Point', 'coordinates': [-73.72459261095402, 40.76542822462696]}",-73.724592610954,218262.821069971,NASSAU BOULEVARD,LITTLE NECK PARKWAY
"{'type': 'Point', 'coordinates': [-73.75323817251022, 40.68011688578239]}",-73.7532381725102,187157.739907563,MERRICK BOULEVARD,SPRINGFIELD BOULEVARD
"{'type': 'Point', 'coordinates': [-73.94968015187398, 40.80202338445881]}",-73.949680151874,231479.756250232,WEST 116 STREET,LENOX AVENUE
"{'type': 'Point', 'coordinates': [-73.99381109307386, 40.601950488726885]}",-73.9938110930739,158583.254077643,BAY PARKWAY,86 STREET
"{'type': 'Point', 'coordinates': [-73.89554341858889, 40.67062578731827]}",-73.8955434185889,183620.73615481,BELMONT AVENUE,PENNSYLVANIA AVENUE
"{'type': 'Point', 'coordinates': [-74.00531369164149, 40.728604494287794]}",-74.0053136916415,204726.871107817,VARICK STREET,WEST HOUSTON STREET
"{'type': 'Point', 'coordinates': [-73.96090977373903, 40.60769310158166]}",-73.960909773739,160677.797132641,EAST 12 STREET,KINGS HIGHWAY
"{'type': 'Point', 'coordinates': [-73.94760500185852, 40.82523285920536]}",-73.9476050018585,239936.133366317,AMSTERDAM AVENUE,WEST 145 STREET
"{'type': 'Point', 'coordinates': [-73.98694873854555, 40.75603590259453]}",-73.9869487385455,214721.23071222,WEST 42 STREET,7 AVENUE
"{'type': 'Point', 'coordinates': [-73.91579117442271, 40.764267771016016]}",-73.9157911744227,217731.312946647,38 STREET,30 AVENUE
"{'type': 'Point', 'coordinates': [-73.95566601542264, 40.68113695998235]}",-73.9556660154226,187436.092369229,FULTON STREET,FRANKLIN AVENUE
"{'type': 'Point', 'coordinates': [-74.18204813412198, 40.59709582487136]}",-74.182048134122,156867.049176723,BARON BOULEVARD,VICTORY BOULEVARD
"{'type': 'Point', 'coordinates': [-73.94085555139354, 40.814105941770016]}",-73.9408555513935,235883.385566309,WEST 135 STREET,LENOX AVENUE
"{'type': 'Point', 'coordinates': [-73.99543724467641, 40.71599802467991]}",-73.9954372446764,200133.934099481,MANHATTAN BR APPROACH,CANAL STREET
"{'type': 'Point', 'coordinates': [-73.79568993243034, 40.70514836383068]}",-73.7956899324303,196247.102634311,JAMAICA AVENUE,164 STREET
