the_geom,unitid,boro
"{'type': 'Point', 'coordinates': [-73.78271322729341, 40.730175475476535]}",H421404,4
"{'type': 'Point', 'coordinates': [-73.94220059829911, 40.75018278893615]}",H440327,4
"{'type': 'Point', 'coordinates': [-73.80569266405638, 40.715757895161225]}",H408038,4
"{'type': 'Point', 'coordinates': [-73.9237028320579, 40.67740279965768]}",H321850,3
"{'type': 'Point', 'coordinates': [-73.90709554918274, 40.81372669608313]}",H205811,2
"{'type': 'Point', 'coordinates': [-73.88656940871171, 40.67282269901632]}",H327141,3
"{'type': 'Point', 'coordinates': [-73.85436649199744, 40.836842941852304]}",H210109,2
"{'type': 'Point', 'coordinates': [-73.89306065778776, 40.82073601502391]}",H206359,2
"{'type': 'Point', 'coordinates': [-73.73277569633196, 40.70894278203164]}",H401511,4
"{'type': 'Point', 'coordinates': [-73.83823204296888, 40.76926457430984]}",H431908,4
"{'type': 'Point', 'coordinates': [-73.8110475665077, 40.72071121390456]}",H423963,4
"{'type': 'Point', 'coordinates': [-73.81008449289814, 40.704540882964665]}",H401721,4
"{'type': 'Point', 'coordinates': [-73.90191909655502, 40.7686750207802]}",H436642,4
"{'type': 'Point', 'coordinates': [-73.84739396226371, 40.833202879919575]}",H212524,2
"{'type': 'Point', 'coordinates': [-73.92644002042485, 40.61581706571438]}",H324640,3
"{'type': 'Point', 'coordinates': [-73.9762453032587, 40.6540268321433]}",H310227,3
"{'type': 'Point', 'coordinates': [-73.90965084254007, 40.77711345243558]}",H438160,4
