omonumber,latitude,longitude,omoawarddate,zip,lifecycle,servicechargeflag,omostatusreason,femaeventid
DM00361,40.687997,-73.909494,2022-02-03T00:00:00.000,11207.0,Standing Building,False,OMO Completed,
EN02513,40.865035,-73.88725,2022-08-10T00:00:00.000,10458.0,Standing Building,True,No Access,
EO16193,40.64503,-73.998126,2023-12-14T00:00:00.000,11232.0,Standing Building,False,OMO Completed,
EB15520,40.822728,-73.939553,2010-11-22T00:00:00.000,10039.0,Standing Building,False,OMO Completed,
EO09719,40.854027,-73.930303,2024-01-30T00:00:00.000,10040.0,Standing Building,False,OMO Completed,
EL01469,40.876199,-73.873349,2020-08-10T00:00:00.000,10467.0,Standing Building,False,OMO Completed,
EM27424,40.645205,-74.004454,2022-07-12T00:00:00.000,11220.0,Standing Building,True,No Access,
EN27020,40.829134,-73.943146,2023-08-02T00:00:00.000,10031.0,Standing Building,False,OMO Completed,
EO01807,40.690908,-73.954457,2023-07-26T00:00:00.000,11205.0,Standing Building,True,Owner Refused Access,
EK26700,40.595967,-73.802184,2020-07-29T00:00:00.000,11692.0,Standing Building,True,Owner Refused Access,
EL01856,40.863451,-73.896389,2020-08-10T00:00:00.000,10468.0,Standing Building,True,No Access,
EN16479,40.8539,-73.929128,2023-04-20T00:00:00.000,10040.0,Standing Building,False,OMO Completed,
EK23911,40.865531,-73.889693,2020-04-25T00:00:00.000,10458.0,Standing Building,True,Landlord Complied,
EL20353,40.703888,-73.919633,2021-07-22T00:00:00.000,11237.0,Standing Building,True,No Access,
DN00001,40.733636,-73.956037,2022-07-07T00:00:00.000,11222.0,Standing Building,False,OMO Completed,
EM10470,40.858583,-73.897445,2021-11-22T00:00:00.000,10458.0,Standing Building,True,Owner Refused Access,
EN07579,40.869502,-73.904438,2023-01-21T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EO17716,40.818587,-73.946815,2024-01-30T00:00:00.000,10030.0,Standing Building,True,Owner Refused Access,
EN05698,40.863401,-73.904512,2022-09-07T00:00:00.000,10468.0,Standing Building,False,OMO Completed,
EM10290,40.836789,-73.864335,2022-04-12T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EN01378,40.841312,-73.884211,2022-09-24T00:00:00.000,10460.0,Standing Building,False,OMO Completed,
EM27339,40.697151,-73.784159,2022-06-30T00:00:00.000,11433.0,Standing Building,True,Owner Refused Access,
EM20009,40.84354,-73.941847,2022-04-14T00:00:00.000,10032.0,Standing Building,True,Work Not Started,
