location_1,census_tract,:@computed_region_f5dn_yrer,boro,borough,longitude
"{'latitude': '40.851815', 'longitude': '-73.91118'}",217.0,6.0,X,BRONX,-73.91118
"{'latitude': '40.676774', 'longitude': '-73.960058'}",305.0,16.0,K,BROOKLYN,-73.960058
"{'latitude': '40.867826', 'longitude': '-73.917059'}",303.0,47.0,M,MANHATTAN,-73.917059
"{'latitude': '40.577217', 'longitude': '-74.000194'}",328.0,21.0,K,BROOKLYN,-74.000194
"{'latitude': '40.662447', 'longitude': '-73.936382'}",876.0,17.0,K,BROOKLYN,-73.936382
"{'latitude': '40.727892', 'longitude': '-73.978525'}",28.0,70.0,M,MANHATTAN,-73.978525
"{'latitude': '40.71457', 'longitude': '-73.983724'}",202.0,70.0,M,MANHATTAN,-73.983724
"{'latitude': '40.683241', 'longitude': '-73.930813'}",297.0,69.0,K,BROOKLYN,-73.930813
"{'latitude': '40.715073', 'longitude': '-73.954754'}",519.0,36.0,K,BROOKLYN,-73.954754
"{'latitude': '40.754201', 'longitude': '-73.760636'}",138501.0,26.0,Q,QUEENS,-73.760636
"{'latitude': '40.677104', 'longitude': '-73.883433'}",1170.0,45.0,K,BROOKLYN,-73.883433
"{'latitude': '40.827642', 'longitude': '-73.904473'}",135.0,34.0,X,BRONX,-73.904473
"{'latitude': '40.741131', 'longitude': '-73.918945'}",23502.0,53.0,Q,QUEENS,-73.918945
"{'latitude': '40.67438', 'longitude': '-73.951443'}",31701.0,16.0,K,BROOKLYN,-73.951443
"{'latitude': '40.692055', 'longitude': '-74.01358'}",5.0,56.0,M,MANHATTAN,-74.01358
"{'latitude': '40.810431', 'longitude': '-73.955809'}",20901.0,37.0,M,MANHATTAN,-73.955809
"{'latitude': '40.703624', 'longitude': '-73.953146'}",529.0,36.0,K,BROOKLYN,-73.953146
"{'latitude': '40.874088', 'longitude': '-73.833904'}",46205.0,43.0,X,BRONX,-73.833904
"{'latitude': '40.618676', 'longitude': '-74.012722'}",166.0,10.0,K,BROOKLYN,-74.012722
"{'latitude': '40.6013', 'longitude': '-73.976953'}",410.0,1.0,K,BROOKLYN,-73.976953
"{'latitude': '40.736653', 'longitude': '-73.813346'}",122702.0,25.0,Q,QUEENS,-73.813346
"{'latitude': '40.763736', 'longitude': '-73.95815'}",116.0,23.0,M,MANHATTAN,-73.95815
"{'latitude': '40.642578', 'longitude': '-73.991388'}",110.0,2.0,K,BROOKLYN,-73.991388
"{'latitude': '40.672462', 'longitude': '-73.906552'}",908.0,55.0,K,BROOKLYN,-73.906552
"{'latitude': '40.807335', 'longitude': '-73.912731'}",33.0,49.0,X,BRONX,-73.912731
"{'latitude': '40.85051', 'longitude': '-73.934485'}",271.0,47.0,M,MANHATTAN,-73.934485
"{'latitude': '40.830647', 'longitude': '-73.877736'}",54.0,58.0,R,BRONX,-73.877736
"{'latitude': '40.833511', 'longitude': '-73.90449'}",14701.0,34.0,X,BRONX,-73.90449
"{'latitude': '40.856573', 'longitude': '-73.916202'}",249.0,6.0,X,BRONX,-73.916202
"{'latitude': '40.825025', 'longitude': '-73.906143'}",18502.0,34.0,X,BRONX,-73.906143
"{'latitude': '40.700285', 'longitude': '-73.829537'}",144.0,46.0,Q,QUEENS,-73.829537
"{'latitude': '40.637486', 'longitude': '-73.985955'}",232.0,2.0,K,BROOKLYN,-73.985955
"{'latitude': '40.741122', 'longitude': '-73.874721'}",461.0,66.0,Q,QUEENS,-73.874721
"{'latitude': '40.580115', 'longitude': '-73.962391'}",364.0,21.0,K,BROOKLYN,-73.962391
