name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
P.S. 137 - BROOKLYN,11216.0,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT,49.0,49.0,23
R. CARSON SCL OF COASTAL ST-K,11216.0,IPDVS INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION / FY24 RESO A IPDVS CAMERA INSTALLATION,51.0,49.0,21
HS FOR ARTS & TECHNOLOGY - M,10035.0,CAFETERIA UPGRADE / AHU REPLACEMENT,16.0,36.0,3
I.S. 74 - QUEENS,11434.0,IDA FLOOD ELIMINATION / IDA INTERIOR SPACES / IDA DOMESTIC PIPING / IDA ELECTRICAL SYSTEMS / IDA CLIMATE CONTROL / PARAPETS / EXTERIOR MASONRY / WINDOWS / ROOFS / FLOOD ELIMINATION / FENCING,71.0,46.0,26
P.S. 127 - QUEENS,11426.0,LSP- DOMESTIC HOT WATER HEATER,63.0,16.0,30
P.S. 102 - QUEENS,11428.0,FY19 RESO A ROOM CONVERSIONS/PARTITIONING,63.0,16.0,24
P.S. 152 - BROOKLYN,11210.0,FY24 RESO A LIBRARY UPGRADE,43.0,26.0,22
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,11218.0,New,39.0,27.0,15
EDUCATIONAL CAMPUS @ 500 19 STREET - BROOKLYN,11215.0,Lease,45.0,7.0,15
P.S. 123 - QUEENS,11377.0,TCU REMOVAL & PLAYGROUND REDEVELOPMENT,66.0,33.0,27
P.S. 30 - STATEN ISLAND,10307.0,FIRE ALARM SYSTEM,77.0,9.0,31
P.S. 155 - BROOKLYN,11207.0,LSP AUDITORIUM UPGRADE,47.0,37.0,23
P.S. 195 - BROOKLYN,11210.0,EXTERIOR MASONRY,43.0,15.0,22
P.S. 155 - MANHATTAN,10032.0,FULL PROGRAM ACCESSIBILITY / FLOOD ELIMINATION / FIRE ALARM SYSTEM,21.0,39.0,4
P.S. 80 - STATEN ISLAND,10460.0,REINFORCING SUPPORT ELEMENTS,31.0,43.0,31
I.S. 391 - BRONX,10456.0,IPDVS CAMERA INSTALLATION / FY23 RESO A IPDVS CAMERA INSTALLATION,25.0,43.0,10
P.S. 273 - BROOKLYN,11229.0,FULL PROGRAM ACCESSIBILITY,36.0,8.0,19
P.S. @ 140 BEACH 112 STREET - QUEENS,10310.0,Lease,74.0,13.0,27
P.S. 81 - BROOKLYN,11224.0,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,35.0,45.0,16
BROOKLYN ACADEMY HS - BROOKLYN,11220.0,WORK REQUIRED TO OBTAIN A C OF O,41.0,44.0,13
P.S. 306 - BRONX,10456.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,25.0,42.0,10
P.S. 333 - MANHATTAN,10027.0,WALK-IN REFRIGERATORS AND FREEZERS,17.0,23.0,3
P.S. 197 - MANHATTAN,10040.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,22.0,39.0,5
"HERO HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPAT",10453.0,STH SBHC,29.0,29.0,7
P.S. 166 - QUEENS,11365.0,IPDVS INSTALLATIONS,65.0,24.0,30
P.S. 134 - QUEENS,11412.0,WATER PENETRATION / EXTERIOR MASONRY / FULL PROGRAM ACCESSIBILITY / PARAPETS,71.0,6.0,29
P.S. 169 - BROOKLYN,11208.0,IPDVS INSTALLATIONS,47.0,37.0,15
P.S. 29 - BROOKLYN,11206.0,LSP WATER BOOSTER PUMP SET REPLACEMENT,51.0,49.0,15
P.S. 333 - QUEENS,11367.0,ROOFS / EXTERIOR MASONRY / PARAPETS,65.0,24.0,27
P.S. 115 - BROOKLYN,11206.0,FY23 RESO A LIBRARY UPGRADE,53.0,30.0,18
P.S. /I.S 295 - QUEENS,11368.0,EXTERIOR MASONRY / PARAPETS / ROOFS / RTU REPLACEMENT,73.0,21.0,29
P.S. 93 - BROOKLYN,11223.0,IPDVS CAMERA INSTALLATION / IPDVS NSTALLATION,36.0,45.0,13
P.S. 20 - BROOKLYN,11238.0,FULL PROGRAM ACCESSIBILITY / ROOFS / PARAPETS / EXTERIOR MASONRY / PLAYGROUND RENOVATION / FIRE ALARM SYSTEM / FY24 RESO A GREEN ROOF,49.0,48.0,13
NEVINS DAY CARE CENTER,10038.0,ACS EARLY LEARN LEASE IMPROVEMENT / PATH OF TRAVEL,2.0,32.0,15
P.S. 70 - BRONX,10461.0,IPDVS INSTALLATIONS,28.0,12.0,9
P.S. 20 - STATEN ISLAND,10308.0,ROOFS / EXTERIOR MASONRY / PARAPETS,76.0,9.0,31
P.S. 53 - BRONX,10455.0,STH- SBHC,24.0,35.0,9
JOHN BOWNE HS ANNEX - QUEENS,11418.0,New,60.0,28.0,78
SCHOOL OF THE FUTURE - MANHATTAN,10004.0,FY24 RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,1.0,32.0,2
P.S. 54 - BROOKLYN,11221.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,52.0,49.0,13
P.S. 150 - QUEENS,11377.0,IPDVS INSTALLATIONS,66.0,33.0,30
