fy_1995,fy_1998,fy_2005,fy_2003,fy_1992,fy_2010,fy_1994,fy_1999,fy_1983,fy2017
"5,263,151","5,204,275","5,135,533","5,073,229","5,084,939","5,300,135","5,071,508","6,015,213","2,610,544","6,099,174"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"987,649",- 0
,,,,,,,,,
"2,303,523","13,829,701","5,356,667","7,244,825","6,405,848","44,313,646","11,497,932","2,809,381",- 0,"13,173,437"
"1,805,090","1,554,896","2,083,475","1,797,278","1,653,874","3,596,017","1,791,384","1,716,567","647,667","4,486,764"
,,,,,,,,,
"(6,751)",- 0,- 0,- 0,- 0,- 0,"(174,922)",- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,"(178,986)",- 0,- 0,- 0
"(3,334)","(59,399)","(37,615)",368,"(1,915)","(192,927)","(346,042)","(221,305)","(8,954)","(2,514)"
"6,695,428","6,829,379","5,337,695","5,343,569","6,403,367","4,862,199","6,943,017","6,942,053","2,385,807","4,970,736"
,,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"459,788",- 0
- 0,"246,444,534","324,701,838","347,255,695",- 0,"388,985,539",- 0,"297,531,923",- 0,"465,016,995"
(169),- 0,- 0,- 0,"(1,628)",- 0,"(58,257)",- 0,(367),- 0
,,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"5,608,045","13,274,882","24,210,280","24,332,581","8,457,231","16,308,412","9,525,686","14,050,512","5,568,269","27,783,181"
- 0,"737,651",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"22,090,427",- 0,- 0,- 0,"23,632,906",- 0,"23,748,647",- 0,"13,119,522",- 0
- 0,- 0,- 0,- 0,- 0,"(60,027)",- 0,- 0,- 0,"(6,425)"
(490),- 0,- 0,- 0,(154),"(6,320)",- 0,- 0,- 0,(1)
"4,032,650","4,182,339","3,666,310","3,952,756","4,028,032","3,949,101","3,939,614","4,201,521","2,360,825","3,943,288"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,(2),- 0
"111,018,394","76,219,577","70,641,689","91,307,702","126,824,511","93,831,373","129,342,079","80,377,373","72,086,451","119,553,334"
,,,,,,,,,
,,,,,,,,,
"(13,510)","(70,789)","(147,098,428)","(134,301,697)","(41,000)","(236,693,999)","(23,030)","(50,477,329)","(182,237)","(264,463,416)"
