fy_1993,fy_1982,fy_2013,fy_2002,fy2016,fy_1990,fy_2006,fy_1991,fy_1987
"(603,748)","860,858","(1,616,578)","(175,874)","(1,502,760)","(70,876)","(460,232)","(63,856)","(184,058)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(2,140,103)",- 0,"(5,731,338)","(2,274,335)","(4,571,447)","(3,340,093)","(3,200,116)","(3,110,111)",- 0
- 0,"1,125,804",- 0,- 0,- 0,"2,319,484",- 0,"1,174,314","1,107,826"
"58,945,633","30,286,085","111,230,641","46,905,366","132,891,856","36,451,095","96,463,517","55,990,923","49,051,385"
"(6,467)","(6,214)",- 0,940,(418),"(2,206)",(487),"(59,663)",- 0
- 0,(204),- 0,- 0,- 0,(909),- 0,- 0,(112)
"11,863,473","5,304,959","52,682,096","15,940,005","54,045,441","9,823,858","17,839,400","9,634,607","8,113,087"
"49,251,889","20,012,946","100,010,370","75,280,738","118,777,294","46,174,119","83,313,211","47,949,941","33,948,667"
"(11,284)","(3,824)",- 0,"(32,836)",- 0,(761),"(5,434)",- 0,(222)
,,- 0,- 0,- 0,,- 0,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"4,971,786","1,761,695","4,221,185","5,470,418","4,368,300","5,172,312","4,333,384","5,575,771","2,775,844"
"(1,456,017)",- 0,"(6,056,621)","(2,680,088)","(6,429,300)","(1,201,757)","(3,072,067)","(1,244,000)","(834,000)"
- 0,"(32,211)","(1,935,553)",- 0,"(900,016)",- 0,- 0,- 0,- 0
"4,813,993","885,810","20,804,648","4,318,096","15,607,355","6,579,299","5,738,531","5,403,312","4,099,986"
,,,,,,,,
"103,534,423","43,333,187","391,784,613","241,235,385","585,094,382","86,162,689","272,481,551","84,880,651","67,697,769"
"34,822,849","16,697,214","107,472,048","67,481,430","116,078,173","29,766,805","62,447,911","26,223,712","20,025,498"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,
"15,104,230","9,471,767","18,109,198","16,674,564","22,574,427","15,814,749","19,211,328","16,801,892","13,511,190"
"4,328,623","1,840,166","4,128,542","4,426,109","4,833,436","4,222,223","4,279,591","4,287,644","2,973,735"
"(4,591,019)","(333,769)","(2,483,766)","(3,998,010)","(6,671,002)","(632,575)","(8,003,031)","(2,045,189)","(765,583)"
"23,486,869","11,399,530","54,790,559","51,541,788","62,626,678","19,943,280","45,457,112","16,695,690","11,912,750"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,
"(2,730)",- 0,"(1,072)",- 0,- 0,- 0,"(1,203)",- 0,- 0
,,,,,,,,
,,,,,,,,
"8,321,652","2,476,416",- 0,- 0,- 0,"7,397,730",- 0,"7,656,177","4,468,105"
,,,,,,,,
"(30,436)","(5,271)","(1,150)",(237),- 0,- 0,"(45,631)","(1,084)","(11,091)"
,,,,,,,,
"5,107,160","2,312,858","5,186,946","6,065,331","6,369,279","5,144,218","5,435,609","5,195,910","5,049,035"
- 0,"808,265",- 0,- 0,- 0,"1,369,251",- 0,"1,149,878","1,212,408"
,,,,,,,,
"3,030,232",- 0,"9,617,936","48,500,270","7,885,733","8,870,761","38,582,873","1,850,572",- 0
"1,826,780","562,670","3,911,447","1,905,220","4,119,938","1,402,442","2,276,915","1,425,835","1,037,670"
,,,,,,,,
"(181,500)",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(60,000)",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(962,533)","(25,722)",(3),"(22,755)",(455),"(7,087)",(975),"(746,040)","(29,778)"
"6,319,108","2,248,376","4,982,005","6,945,120","5,063,486","6,643,400","5,613,217","6,875,076","3,270,779"
,,,,,,,,
- 0,"420,151",- 0,- 0,- 0,"970,080",- 0,"746,042","553,082"
- 0,- 0,"390,329,437","368,063,198","419,907,485",- 0,"349,683,278",- 0,- 0
"(7,933)","(4,361)",- 0,- 0,- 0,- 0,- 0,"153,079",(725)
,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"9,027,503","3,145,230","22,277,865","9,198,396","26,736,633","6,289,418","19,033,883","9,166,777","7,904,170"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"23,684,012","12,798,249",- 0,- 0,- 0,"23,424,370",- 0,"25,596,782","18,696,263"
- 0,- 0,"(51,027)",- 0,(7),- 0,"(69,048)",- 0,- 0
"(28,499)",- 0,"(72,565)",- 0,- 0,"(460,067)","(109,563)","(426,912)",- 0
"4,061,888","2,073,804","3,513,037","4,857,338","3,873,674","4,341,550","3,526,313","4,374,136","3,817,141"
- 0,"(2,054)",- 0,- 0,- 0,"218,348",- 0,"(2,761)","(1,357)"
"134,761,611","53,086,734","91,998,627","106,555,189","108,115,756","123,248,879","76,167,794","116,688,258","117,950,683"
,,,,,,,,
,,,,,,,,
"(32,915)","(133,300)","(231,735,298)","(124,253,069)","(246,899,678)","(29,571)","(158,382,139)","(39,472)","(82,979)"
