the_geom,shape_stle
"{'type': 'MultiLineString', 'coordinates': [[[-73.99386140150551, 40.762335892856406], [-73.9939070388865, 40.76235486440331], [-73.99396937819822, 40.76238077879557], [-73.99403215094539, 40.76240754325256], [-73.99417931801048, 40.76247054286171], [-73.99417949210005, 40.76247061671185], [-73.99417985212199, 40.76247076981578], [-73.9941802109596, 40.76247092201914], [-73.99418056979725, 40.762471074222525], [-73.99418093455634, 40.762471229127684], [-73.99418129457824, 40.762471382231595], [-73.99418166052159, 40.76247153713685], [-73.99418201343781, 40.76247168753888], [-73.99418237819685, 40.76247184244408], [-73.9941827453245, 40.76247199824982], [-73.99418309705644, 40.7624721477513], [-73.99418346063123, 40.762472301755906], [-73.99418382775889, 40.76247245756169], [-73.99424608552356, 40.76249890669927]]]}",121.999848208
"{'type': 'MultiLineString', 'coordinates': [[[-73.89899579511578, 40.75188111244028], [-73.89896135052597, 40.751696316342006]]]}",68.0001982662
"{'type': 'MultiLineString', 'coordinates': [[[-74.00484833296512, 40.722310707538966], [-74.00502123146545, 40.72210486618001]]]}",89.0000159506
"{'type': 'MultiLineString', 'coordinates': [[[-73.84871902488202, 40.857413338907726], [-73.84862892103851, 40.85741108295704]]]}",24.9386249179
"{'type': 'MultiLineString', 'coordinates': [[[-73.98720403231621, 40.733460521385744], [-73.98692007877106, 40.73384603930442]]]}",160.999652475
"{'type': 'MultiLineString', 'coordinates': [[[-73.98351168563934, 40.74105773363399], [-73.98338524324333, 40.74123073259615], [-73.98333114309182, 40.74130485182184]]]}",102.999756214
"{'type': 'MultiLineString', 'coordinates': [[[-73.98644260291736, 40.743112298468766], [-73.9866175979124, 40.742870532838786], [-73.98661739894892, 40.742870807470254]]]}",100.662851608
"{'type': 'MultiLineString', 'coordinates': [[[-73.99277954274048, 40.76433463162853], [-73.99236502483417, 40.76416156763775]]]}",130.99974683
"{'type': 'MultiLineString', 'coordinates': [[[-73.94195557452775, 40.837678539074005], [-73.94182155746839, 40.83762440230223]]]}",42.0027820787
"{'type': 'MultiLineString', 'coordinates': [[[-73.91843713410685, 40.77177002092974], [-73.91822596788495, 40.77162021298]]]}",79.9999219523
"{'type': 'MultiLineString', 'coordinates': [[[-73.99274875068838, 40.75807850702118], [-73.99262291140572, 40.75824828112701]]]}",71.0023489937
"{'type': 'MultiLineString', 'coordinates': [[[-73.93912906082844, 40.79747988593668], [-73.93922128062187, 40.79751763492164]]]}",29.0018299074
"{'type': 'MultiLineString', 'coordinates': [[[-73.95408016807977, 40.81313693667457], [-73.95375329574395, 40.812996204160875]]]}",103.999769031
"{'type': 'MultiLineString', 'coordinates': [[[-73.994961690412, 40.767601239966325], [-73.99536766123731, 40.7677747255228]]]}",128.999561469
"{'type': 'MultiLineString', 'coordinates': [[[-73.99224025199204, 40.66590871097845], [-73.99226067857197, 40.6658839787856], [-73.99229580704726, 40.665841467789136], [-73.99233093547882, 40.66579894777661], [-73.9923660520395, 40.665756427752356], [-73.99236884338436, 40.66575304740089]]]}",66.9997865626
"{'type': 'MultiLineString', 'coordinates': [[[-73.99665868889369, 40.76289967502054], [-73.99674040030493, 40.762789761808286]]]}",45.9997236749
"{'type': 'MultiLineString', 'coordinates': [[[-73.9842291729159, 40.740359814090375], [-73.98406915092197, 40.740584097603765]]]}",92.9704840861
"{'type': 'MultiLineString', 'coordinates': [[[-73.94631257531022, 40.74947570363029], [-73.94645943114476, 40.74950426760489]]]}",41.9998036467
"{'type': 'MultiLineString', 'coordinates': [[[-73.94428729986373, 40.746677006237974], [-73.94458808200963, 40.746735234909984]]]}",86.0003633935
"{'type': 'MultiLineString', 'coordinates': [[[-73.98733398711828, 40.72285666721663], [-73.98734964877912, 40.722863079664776], [-73.98740689736375, 40.72288652439869], [-73.98746415664081, 40.722909971806786], [-73.98749282535123, 40.7229217103628]]]}",49.9999462529
"{'type': 'MultiLineString', 'coordinates': [[[-73.99362993398653, 40.718173654951315], [-73.99318415609578, 40.7180360414084]]]}",133.355779539
"{'type': 'MultiLineString', 'coordinates': [[[-73.97959138252648, 40.73743196737337], [-73.9793063489068, 40.73731357540116]]]}",89.9998029577
"{'type': 'MultiLineString', 'coordinates': [[[-74.00487630588002, 40.71880846042076], [-74.00514406647133, 40.71853240106598]]]}",124.999694085
"{'type': 'MultiLineString', 'coordinates': [[[-73.99766534790055, 40.76151985967418], [-73.99741765193804, 40.76185496540871]]]}",140.051328384
"{'type': 'MultiLineString', 'coordinates': [[[-73.9857737657383, 40.75274160213033], [-73.98589296166884, 40.75257844336777]]]}",68.0016020328
"{'type': 'MultiLineString', 'coordinates': [[[-73.98277635581611, 40.74206960864761], [-73.98255399269043, 40.742374416603305], [-73.98243069100623, 40.742543369884714]]]}",197.402571764
"{'type': 'MultiLineString', 'coordinates': [[[-73.94532755465461, 40.75215763976476], [-73.94575600002406, 40.75171584251527]]]}",199.99958182
"{'type': 'MultiLineString', 'coordinates': [[[-74.00768176746054, 40.711457801967086], [-74.00791879131589, 40.71139951205476]]]}",69.0573947438
"{'type': 'MultiLineString', 'coordinates': [[[-73.98678582891957, 40.72263022475141], [-73.98640966442169, 40.72247281063981]]]}",118.999643045
"{'type': 'MultiLineString', 'coordinates': [[[-73.99303498650556, 40.761176021363134], [-73.9928457374786, 40.76109593240208]]]}",60.0000587275
"{'type': 'MultiLineString', 'coordinates': [[[-73.97806651781036, 40.76329863194704], [-73.97818385985177, 40.76313631672145]]]}",67.4817653443
"{'type': 'MultiLineString', 'coordinates': [[[-73.99605765820888, 40.72502330929564], [-73.99617674514515, 40.724879256166275]]]}",62.0000448863
"{'type': 'MultiLineString', 'coordinates': [[[-73.99081412554075, 40.73660251099761], [-73.99112314351937, 40.73673328714465]]]}",97.9996607271
"{'type': 'MultiLineString', 'coordinates': [[[-73.93699467823832, 40.76438399790388], [-73.93685919055184, 40.76460549551375]]]}",88.999694542
"{'type': 'MultiLineString', 'coordinates': [[[-73.9294243602826, 40.75299258227006], [-73.9295372443798, 40.752852040986674]]]}",59.9999608423
"{'type': 'MultiLineString', 'coordinates': [[[-73.98315102104078, 40.7429831950429], [-73.98355751817112, 40.74315577470108]]]}",129.00166553
"{'type': 'MultiLineString', 'coordinates': [[[-73.99594316729824, 40.74248602363039], [-73.99645750940559, 40.74270679356643]]]}",163.655841081
"{'type': 'MultiLineString', 'coordinates': [[[-73.93462779124991, 40.75196604140992], [-73.9339127439017, 40.75169109432074]]]}",221.999816157
"{'type': 'MultiLineString', 'coordinates': [[[-73.92771644823219, 40.74604575933133], [-73.92844115485406, 40.74612930432674]]]}",203.102109496
"{'type': 'MultiLineString', 'coordinates': [[[-73.99569369631563, 40.755673837040966], [-73.99589929992878, 40.755759773453654]]]}",64.9998719924
"{'type': 'MultiLineString', 'coordinates': [[[-73.94931543361014, 40.777690655389584], [-73.94905346990329, 40.77758001129787]]]}",82.999600708
"{'type': 'MultiLineString', 'coordinates': [[[-73.94649555707443, 40.74957019243998], [-73.94607846114022, 40.750051457159685]]]}",209.999445675
"{'type': 'MultiLineString', 'coordinates': [[[-73.88544831397994, 40.8431315793049], [-73.88538264513038, 40.84345714602466]]]}",119.99972371
"{'type': 'MultiLineString', 'coordinates': [[[-73.92771134831106, 40.75925943252742], [-73.92757821396411, 40.759422731142784]]]}",69.9999638922
