purpose,zipcode,validtimes,issuedate
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY  -  SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
FUND RAISER FOR NON-PROFIT,10458.0,MONDAY 12:00NOON - 12 MIDNIGHT,2008-01-09T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 4:00 PM,2008-05-16T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM,2008-08-21T00:00:00.000
FLEET WEEK,10022.0,9:30AM - 12NOON,2008-05-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-09T00:00:00.000
OFFICIAL BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2008-01-16T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY - SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7 :00AM - 10:00PM (SUNDAY - SATURDAY,2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
FLEET WEEK,10022.0,8:00 AM - 6:00 PM,2008-05-16T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM  SUNDAY - SATURDAY,2007-12-06T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-30T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY -SUNDAY 7:00PM - 8:00PM,2009-10-22T00:00:00.000
