dcid,bin,age_range,permit_number,capacity
DC25044,1087272.0,2 YEARS - 5 YEARS,94577.0,177
DC42462,3348295.0,2 YEARS - 5 YEARS,106704.0,16
DC21573,3165323.0,2 YEARS - 5 YEARS,8322.0,31
DC43897,,2 YEARS - 5 YEARS,106615.0,10
DC14454,3223428.0,2 YEARS - 5 YEARS,6055.0,94
DC42266,3116048.0,2 YEARS - 5 YEARS,106519.0,15
DC39968,4170638.0,2 YEARS - 5 YEARS,105420.0,77
DC39853,3141674.0,2 YEARS - 5 YEARS,105309.0,150
DC39933,4292302.0,2 YEARS - 5 YEARS,106006.0,98
DC34674,4597006.0,0 YEARS - 2 YEARS,103851.0,64
DC2682,1022709.0,0 YEARS - 2 YEARS,5817.0,18
DC40807,2092841.0,2 YEARS - 5 YEARS,105642.0,77
DC44077,3159647.0,2 YEARS - 5 YEARS,106571.0,106
DC44462,3013533.0,2 YEARS - 5 YEARS,106819.0,70
DC43726,1052905.0,2 YEARS - 5 YEARS,106595.0,34
DC169,3324601.0,2 YEARS - 5 YEARS,4348.0,18
DC2039,3325183.0,2 YEARS - 5 YEARS,4639.0,40
DC35096,1044361.0,0 YEARS - 2 YEARS,104175.0,18
DC2828,1022709.0,2 YEARS - 5 YEARS,5818.0,15
DC2022,3160022.0,2 YEARS - 5 YEARS,7107.0,23
DC19160,2093518.0,2 YEARS - 5 YEARS,7972.0,60
DC23106,3397381.0,2 YEARS - 5 YEARS,41797.0,91
DC34184,1032559.0,2 YEARS - 5 YEARS,103794.0,15
DC40368,1089911.0,2 YEARS - 5 YEARS,105453.0,40
DC38114,4000697.0,2 YEARS - 5 YEARS,104903.0,110
DC32515,3015780.0,2 YEARS - 5 YEARS,74857.0,169
DC1942,2091097.0,2 YEARS - 5 YEARS,2085.0,45
DC42390,4136512.0,2 YEARS - 5 YEARS,106427.0,44
DC2736,5107289.0,2 YEARS - 5 YEARS,6174.0,75
DC2329,4173029.0,2 YEARS - 5 YEARS,1964.0,138
DC41305,4028769.0,2 YEARS - 5 YEARS,105999.0,13
DC32861,4538327.0,2 YEARS - 5 YEARS,103650.0,60
DC37363,2050818.0,2 YEARS - 5 YEARS,105134.0,91
DC1623,2092903.0,2 YEARS - 5 YEARS,6464.0,54
DC10665,2073698.0,0 YEARS - 2 YEARS,7231.0,8
DC22793,5167549.0,2 YEARS - 5 YEARS,53540.0,95
DC19444,,2 YEARS - 5 YEARS,8166.0,154
DC2220,1051451.0,2 YEARS - 5 YEARS,7087.0,56
DC43850,3418381.0,0 YEARS - 2 YEARS,106482.0,70
DC44914,3409262.0,3 YEARS - 5 YEARS,,NO DATA
DC41888,3398467.0,2 YEARS - 5 YEARS,105920.0,51
DC414,3398192.0,2 YEARS - 5 YEARS,4264.0,93
DC43487,3140077.0,0 YEARS - 2 YEARS,106703.0,27
DC41726,4618096.0,2 YEARS - 5 YEARS,106256.0,39
DC42144,3397586.0,0 YEARS - 2 YEARS,106341.0,13
DC14364,1081691.0,0 YEARS - 2 YEARS,6004.0,18
DC3043,4124560.0,2 YEARS - 5 YEARS,7645.0,59
DC38593,1090139.0,2 YEARS - 5 YEARS,105479.0,97
