manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_dist_from_coop_in_miles,comparable_rental_2_gross_sqft,comparable_rental_1_boro_block_lot,comparable_rental_2_full_market_value,comparable_rental_2_building_classification,comparable_rental_2_neighborhood,nta
224000,0.4,39030.0,1-01512-0040,7910000.0,D3-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
55883,0.4,54763.0,1-01448-0001,11200000.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),
34200,0.55,35450.0,1-02159-0012,709000.0,C1-WALK-UP,WASHINGTON HEIGHTS UPPER,Washington Heights North                                                   
67882,0.55,69000.0,1-01387-0056,10600000.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
46741,0.4,45990.0,1-00572-0026,9070000.0,D7-ELEVATOR,LITTLE ITALY,SoHo-TriBeCa-Civic Center-Little Italy                                     
9730,0.05,9690.0,1-01053-0012,1500000.0,C4-WALK-UP,CLINTON,
9700,1.25,9385.0,1-00590-0086,1580000.0,C1-WALK-UP,SOHO,
384336,1.95,341950.0,1-00015-0022,50600000.0,D6-ELEVATOR,MURRAY HILL,park-cemetery-etc-Manhattan                                                
55458,0.1,69000.0,1-01845-0014,3440000.0,D1-ELEVATOR,MANHATTAN VALLEY,Central Harlem South                                                       
64757,0.15,54838.0,1-01011-0025,8470000.0,D7-ELEVATOR,MIDTOWN WEST,
58008,0.35,55764.0,1-02175-0170,2460000.0,D7-ELEVATOR,WASHINGTON HEIGHTS UPPER,Washington Heights North                                                   
87100,0.85,56980.0,1-01331-0039,6580000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),
24275,0.65,25884.0,1-02067-0036,768000.0,C1-WALK-UP,HARLEM-UPPER,
73098,0.85,56310.0,1-00792-0008,8840000.0,D9-ELEVATOR,KIPS BAY,
65142,2.75,63794.0,1-01517-0043,8540000.0,D3-ELEVATOR,UPPER WEST SIDE (79-96),
71490,2.4,133828.0,1-01490-0122,25300000.0,D6-ELEVATOR,MIDTOWN EAST,
15600,0.15,12196.0,1-00452-0044,2340000.0,D6-ELEVATOR,EAST VILLAGE,
34692,0.55,32388.0,1-01840-0003,3160000.0,D1-ELEVATOR,MANHATTAN VALLEY,
49664,0.85,45947.0,1-00875-0003,6570000.0,D9-ELEVATOR,MURRAY HILL,
10090,0.15,10000.0,1-01549-0035,1630000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
8125,1.6,6750.0,1-00438-0043,1110000.0,C4-WALK-UP,ALPHABET CITY,West Village                                                               
155938,0.5,133828.0,1-00882-0069,25300000.0,D6-ELEVATOR,MIDTOWN EAST,Turtle Bay-East Midtown                                                    
123333,,,1-01473-0038,,,,
116000,0.4,105282.0,1-01473-0038,20200000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
71928,0.2,71189.0,1-01387-0056,9810000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Upper East Side-Carnegie Hill                                              
210988,0.35,207037.0,1-01561-0001,33400000.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
139009,0.45,135463.0,1-01876-0061,9950000.0,D3-ELEVATOR,UPPER WEST SIDE (96-116),Upper West Side                                                            
17034,0.15,10600.0,1-01977-0034,1990000.0,C7-WALK-UP,MORNINGSIDE HEIGHTS,
29351,0.5,28656.0,1-00348-0020,4480000.0,D7-ELEVATOR,GREENWICH VILLAGE-WEST,
154506,,,1-01438-0006,,,,
239121,0.25,303086.0,1-00042-0001,47400000.0,D5-ELEVATOR,FINANCIAL,Battery Park City-Lower Manhattan                                          
12641,1.45,13482.0,1-01529-0015,2100000.0,D9-ELEVATOR,UPPER EAST SIDE (59-79),
31500,0.3,36705.0,1-00405-0017,5440000.0,D9-ELEVATOR,ALPHABET CITY,
9398,0.15,11826.0,1-00519-0026,1940000.0,C4-WALK-UP,SOHO,SoHo-TriBeCa-Civic Center-Little Italy                                     
134342,1.05,128132.0,1-01460-0047,17200000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),Upper East Side-Carnegie Hill                                              
253489,0.25,182767.0,1-00913-0001,39900000.0,D6-ELEVATOR,MURRAY HILL,Murray Hill-Kips Bay                                                       
19210,2.35,14256.0,1-00641-0044,2260000.0,C5-WALK-UP,MIDTOWN EAST,West Village                                                               
120383,1.25,97750.0,1-01162-0046,13400000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),
13500,0.45,13359.0,1-01468-0037,1350000.0,C4-WALK-UP,UPPER EAST SIDE (59-79),
9970,0.1,9743.0,1-01078-0014,1820000.0,C7-WALK-UP,CLINTON,
223473,0.35,223798.0,1-01512-0040,18800000.0,D6-ELEVATOR,UPPER EAST SIDE (79-96),
81133,0.65,81100.0,1-01518-0033,16200000.0,D7-ELEVATOR,UPPER EAST SIDE (79-96),
15370,0.05,15558.0,1-02110-0073,808000.0,C7-WALK-UP,WASHINGTON HEIGHTS LOWER,
73676,1.35,75854.0,1-01440-0033,13900000.0,D3-ELEVATOR,UPPER EAST SIDE (59-79),
22600,,,1-01512-0030,,,,Upper East Side-Carnegie Hill                                              
153064,1.1,150754.0,1-01558-0040,20100000.0,D9-ELEVATOR,UPPER EAST SIDE (79-96),East Harlem South                                                          
18939,1.15,23568.0,1-01382-0045,3340000.0,D1-ELEVATOR,UPPER EAST SIDE (79-96),
9090,0.15,8957.0,1-01032-0101,1380000.0,C7-WALK-UP,MIDTOWN WEST,Clinton                                                                    
5500,0.3,6649.0,1-01141-0050,1110000.0,C4-WALK-UP,CHELSEA,
8020,0.0,7845.0,1-01546-0040,1140000.0,C1-WALK-UP,UPPER EAST SIDE (79-96),
9455,1.5,9480.0,1-00572-0072,1270000.0,C4-WALK-UP,GREENWICH VILLAGE-WEST,
30000,0.0,23975.0,1-00506-0016,3390000.0,D5-ELEVATOR,SOHO,SoHo-TriBeCa-Civic Center-Little Italy                                     
122273,,,1-01162-0046,,,,park-cemetery-etc-Manhattan                                                
138304,1.1,138500.0,1-01516-0052,29500000.0,D6-ELEVATOR,UPPER EAST SIDE (59-79),Yorkville                                                                  
