manhattan_cooperatives_comparable_properties_address,comparable_rental_2_gross_income_per_sqft,borough,manhattan_cooperatives_comparable_properties_total_units,comparable_rental_2_est_gross_income,comparable_rental_2_market_value_per_sqft,manhattan_cooperatives_comparable_properties_neighborhood,comparable_rental_1_building_classification,comparable_rental_1_address,manhattan_cooperatives_comparable_properties_year_built,census_tract
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""31 93 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",17.81,1,34,857920.0,71.0,UPPER WEST SIDE (79-96),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""336 95 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""3681 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.72,1,51,827239.0,39.5,HARLEM-UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""557 148 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,237.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""580 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,53,,,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1273 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1923,122.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""891 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.1,1,15,1242149.0,211.0,UPPER EAST SIDE (59-79),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""410 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1931,140.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""174 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.9,1,20,639891.0,163.0,UPPER WEST SIDE (79-96),C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""214 21 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""941 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",31.3,1,38,5215996.0,150.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1347 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1927,140.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""244 90 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",42.3,1,20,442540.0,212.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""232 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""888 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.7,1,78,6118140.0,161.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1081 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1926,142.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""322 57 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.0,1,21,2414297.0,144.0,MIDTOWN EAST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""311 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""252 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.9,1,18,342337.0,186.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""306 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.0,1,350,11090567.0,153.0,GREENWICH VILLAGE-CENTRAL,D8-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1596 YORK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1952,63.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""296 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",46.7,1,97,3321360.0,235.0,MURRAY HILL,D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""153 32 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1940,80.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""74 68 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",44.3,1,58,2341969.0,221.0,UPPER WEST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""265 81 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1924,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""440 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.5,1,99,3175343.0,73.0,UPPER WEST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""2401 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""875 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.4,1,126,1577218.0,203.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1482 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1940,122.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""167 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",40.8,1,39,2235319.0,205.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1404 2 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""187 PINEHURST AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",7.75,1,49,274734.0,20.0,WASHINGTON HEIGHTS UPPER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""510 188 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1925,273.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1450 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.0,1,47,2206620.0,154.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""900 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,15801.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""66 GRAND STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.3,1,19,1808321.0,197.0,SOHO,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""24 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,47.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""517 48 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,1,18,312208.0,155.0,CLINTON,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""447 43 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1901,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""264 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",35.1,1,20,329728.0,168.0,CHELSEA,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""27 JONES STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""101 CENTRAL PARK"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.9,1,104,10563000.0,148.0,UPPER WEST SIDE (59-79),D8-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""21 WEST STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,143.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""14 MORNINGSIDE AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",13.64,1,36,941451.0,49.9,MANHATTAN VALLEY,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""350 CATHEDRAL PARKWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1903,20102.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""203 54 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.2,1,80,1767341.0,154.0,MIDTOWN WEST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""117 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1903,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""220 CABRINI BOULEVARD"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",12.77,1,62,712071.0,44.1,WASHINGTON HEIGHTS UPPER,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""98 THAYER STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,275.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""209 56 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",26.6,1,120,1516068.0,115.0,MIDTOWN EAST,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""210 58 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1960,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""503 141 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",10.4,1,31,269227.0,29.7,HARLEM-UPPER,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""61 ST NICHOLAS PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""38 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.8,1,54,1846482.0,157.0,GREENWICH VILLAGE-CENTRAL,D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""151 16 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""450 52 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,1,16,1783615.0,134.0,MIDTOWN EAST,D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""16O 89 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1927,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""182 HOUSTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.7,1,115,5043967.0,189.0,GREENWICH VILLAGE-WEST,D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""555 78 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1952,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""103 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.3,1,22,466810.0,192.0,EAST VILLAGE,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""225 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""49 96 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",22.48,1,40,728075.0,98.0,MANHATTAN VALLEY,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""77 104 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1941,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""129 22 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",29.8,1,17,1371202.0,143.0,CHELSEA,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""239 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1909,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""214 88 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.0,1,20,340038.0,163.0,UPPER EAST SIDE (79-96),C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""346 87 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1930,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""88 HORATIO STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.3,1,20,231478.0,164.0,GREENWICH VILLAGE-WEST,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""269 10 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,79.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""20 SUTTON PLACE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.7,1,88,5043967.0,189.0,MIDTOWN EAST,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""90 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1953,10601.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""510 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,94,,,UPPER EAST SIDE (79-96),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""420 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1958,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""820 5 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",38.3,1,12,4031505.0,192.0,UPPER EAST SIDE (59-79),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""420 79 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1916,122.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""760 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.8,1,15,2048170.0,138.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""900 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1924,130.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1197 PARK AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.7,1,149,6967238.0,161.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1562 1 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1961,15801.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""160 RIVERSIDE DRIVE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",18.56,1,70,2513951.0,73.0,UPPER WEST SIDE (79-96),D3-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""908 END AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1923,175.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""431 121 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.4,1,27,396880.0,188.0,MORNINGSIDE HEIGHTS,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1270 AMSTERDAM AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""710 BROADWAY"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.7,1,11,936000.0,156.0,GREENWICH VILLAGE-CENTRAL,C7-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""161 RIVINGTON STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""345 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,143,,,UPPER EAST SIDE (59-79),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""305 63 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1961,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""3 HANOVER SQUARE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.6,1,209,9886246.0,156.0,FINANCIAL,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""100 MAIDEN LANE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1926,7.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""55 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",32.5,1,21,438374.0,156.0,UPPER WEST SIDE (79-96),D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""227 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""735 9 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",30.9,1,12,1135379.0,148.0,ALPHABET CITY,D9-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""518 12 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1920,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""143 SULLIVAN STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",34.2,1,20,404065.0,164.0,SOHO,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""26 KING STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,49.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""895 LEXINGTON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.0,1,60,3588695.0,134.0,UPPER EAST SIDE (59-79),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""400 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1908,120.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""407 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",43.5,1,264,7949233.0,218.0,MURRAY HILL,D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""471 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1964,66.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""82 CHARLES STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",33.1,1,30,471610.0,159.0,GREENWICH VILLAGE-WEST,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""82 JANE STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1900,73.0
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""175 73 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",28.7,1,152,2805654.0,137.0,UPPER WEST SIDE (59-79),D5-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""228 71 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1924,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""527 72 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",23.28,1,20,311028.0,101.0,UPPER EAST SIDE (59-79),C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""416 74 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""415 46 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",37.2,1,20,362783.0,187.0,CLINTON,C4-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""533 49 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""525 86 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",19.31,1,139,4321496.0,84.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1482 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1962,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""8 96 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",39.7,1,41,3222573.0,200.0,UPPER EAST SIDE (79-96),D6-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1588 3 AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""527 160 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",14.23,1,20,221446.0,52.0,WASHINGTON HEIGHTS LOWER,C1-WALK-UP,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""446 164 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1910,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""425 51 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",36.5,1,69,2771467.0,183.0,MIDTOWN EAST,D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""340 66 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1928,
"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""1356 MADISON AVENUE"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",,1,12,,,UPPER EAST SIDE (79-96),D1-ELEVATOR,"{'latitude': '40.749883999647', 'longitude': '-73.987976999939', 'human_address': '{""address"": ""16S 83 STREET"", ""city"": ""Manhattan"", ""state"": ""NY"", ""zip"": """"}'}",1902,16001.0
