matter_id,file_num,name,primary_sponsor
74862,Int 1161-2025,Reporting and analysis of pay and employment equity data concerning city contractors.,Louis
75312,Int 1190-2025,Establishing a special inspector of cybersecurity within the department of investigation.,Narcisse
75069,Int 1121-2024,Providing contracted ferry service at reduced cost to middle school students.,Farías
74790,Int 1059-2024,Distribution of materials on water safety in schools.,Krishnan
73980,Int 1006-2024,Defining community land trusts for the provision of services in addition to housing that benefit the local community.,Nurse
75424,Int 1184-2025,Establishing a program to support older adults providing kinship care.,Hudson
73712,Int 1040-2024,Creating expedited processing of FOIL requests to professional journalists,Rivera
75041,Int 1115-2024,Stationary on-street containers for the storage and collection of waste from buildings owned by the city.,Abreu
74766,Int 1062-2024,Clarifying the requirement that heads of mayoral agencies advise and assist elected officials and bodies of elected officials in regard to matters under the jurisdiction of their agencies.,Restler
75247,Int 1174-2025,Creation and publicization of an online portal for vulnerable and homebound individuals to voluntarily facilitate their inclusion in outreach and recovery efforts during emergencies.,Lee
74659,Int 1018-2024,"Prohibiting the sale of dogs and cats in pet shops, and to repeal paragraph 5 of subdivision d of section 17-373, and sections 17-1703, 17-1704, and 17-1705 of such code, relating to required information, recordkeeping, and minimum standards in pet shops.",Brannan
74544,Int 1177-2025,Requiring sodium and added sugar warnings in all restaurants.,Stevens
72754,Int 1016-2024,"Consumer warnings regarding rifles, shotguns, and firearms.",Bottcher
75479,Int 1203-2025,"Requiring the chair of the commission on gender equity to develop a plan to support newly arrived migrants 24 years old and younger and transgender, gender non-conforming, non-binary, and intersex newly arrived migrants.",Ossé
72234,Int 1102-2024,Requiring covered stores to collect and recirculate reusable bags.,Abreu
75000,Int 1114-2024,Requiring the commissioner of transportation to create an online capital project tracker.,Won
75157,Int 1153-2024,Naming of 109 thoroughfares and public places.,Krishnan
75399,Int 1197-2025,"Requiring the department of investigation to investigate the fire department’s compliance with laws and policies relating to discrimination, harassment, and equal employment opportunity.",Williams
