year,category,subsidy_program,households,individuals
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),Emergency Housing Voucher (EHV),467,1270
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SOTA,1893,4922
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),293,908
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,0,0
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA,2147,7356
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CFEPS,2432,7539
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),60,150
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,471,1639
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),9562,20474
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HRA LINC 3,0,0
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,5356,16356
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,190,661
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,0,0
FY 19,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),CITY FHEPS (Shelter and Community),3800,8047
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),TOTAL,12202,27141
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),421a (non-SOTA and non-CFHEPS),20,38
FY 15,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,606,2109
FY 20,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),HOME TBRA,0,0
FY 18,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,505,1566
FY 22,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),SEPS,0,0
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),NYCHA -HRA,16,50
FY 24,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,0,0
FY 17,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),FHEPS B (Shelter and Community),0,0
FY 25,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 3,0,0
FY 21,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,0,0
FY 25,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 2,0,0
FY 23,I. Special Initiatives Shelter Exits & Community Placements (excludes FHEPS A in Community),DHS LINC 1,0,0
