base_market_value,period_end_date,investment_type_name,asset_class,original_face,local_accrued_interest
630320.82,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,612499.93,0.0
81742.86,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,74999.93,0.0
76560.75,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,242.19
957362.83,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,803401.5,0.0
186090.26,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,179999.99,0.0
687568.75,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,12677.26
285384.4,2017-06-30T00:00:00.000,BANK LOAN,FIXED INCOME,0.0,0.0
717921.54,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,612638.69,0.0
83250.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2125.0
1255681.88,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1343000.01,0.0
643330.4,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,3583.75
509538.97,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,474927.72,0.0
319678.98,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,332053.24,0.0
705088.71,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,8587.5
231750.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,1617.19
56507.86,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,49999.93,0.0
573784.79,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,586000.0,0.0
129126.49,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,127902.5,0.0
364202.08,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,325500.03,0.0
764531.06,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,660250.72,0.0
104700.75,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,127001.68,0.0
240285.27,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,198925.0,0.0
462908.5,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,449999.97,0.0
548086.83,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,583749.96,0.0
473636.12,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,427638.49,0.0
116697.53,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,137032.27,0.0
98058.3,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,162499.99,0.0
168872.5,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,156214.76,0.0
224756.75,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,225000.0,0.0
97796.64,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,77336.0,0.0
179782.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,4401.04
162855.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,393.55
234982.51,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,221731.17,0.0
264687.5,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,0.0
1300653.51,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1181510.0,0.0
83727.02,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,86250.01,0.0
198318.41,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,206249.99,0.0
342823.05,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,1806.25
1914009.27,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1702415.99,0.0
1047820.8,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,2647.67
1445359.31,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,1209115.73,0.0
1312500.0,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,33718.75
527082.33,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,491836.27,0.0
278803.8,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,625.78
495150.25,2017-06-30T00:00:00.000,OTHER ASSET BACKED,FIXED INCOME,435430.25,0.0
135952.38,2017-06-30T00:00:00.000,CORPORATE BONDS,FIXED INCOME,0.0,1183.67
