latitude,longitude,nta,primary_vacate_reason
40.766492,-73.952871,Upper East Side-Lenox Hill-Roosevelt Island,Fire Damage
40.818951,-73.86474,Soundview-Clason Point,Illegal Occupancy
40.829762,-73.91205499999998,Concourse-Concourse Village,Habitability
40.846902,-73.931792,Washington Heights (South),Fire Damage
40.815984,-73.92035699999998,Melrose,Illegal Occupancy
40.625657,-73.93808099999998,Flatlands,Fire Damage
40.859522,-73.88561799999998,Belmont,Illegal Occupancy
40.58189,-73.959924,Brighton Beach,Fire Damage
40.685118,-73.910432,Bushwick (East),Fire Damage
40.727717,-73.979298,East Village,Fire Damage
40.67568,-73.94240399999998,Crown Heights (North),Illegal Occupancy
40.690375,-73.907587,Bushwick (East),Fire Damage
40.814734,-73.886537,Hunts Point,Fire Damage
40.866797,-73.887619,Bedford Park,Illegal Occupancy
40.671231,-73.915678,Ocean Hill,Fire Damage
40.839196,-73.917052,Mount Eden-Claremont (West),Fire Damage
40.661862,-73.89810699999998,East New York-New Lots,Fire Damage
40.815984,-73.92035699999998,Melrose,Illegal Occupancy
40.833581,-73.917022,Concourse-Concourse Village,Fire Damage
40.887335,-73.85732799999998,Williamsbridge-Olinville,Habitability
40.861886,-73.868471,Allerton,Fire Damage
40.854559,-73.900158,Mount Hope,Fire Damage
40.74819,-73.88888799999998,Jackson Heights,Illegal Occupancy
40.584479,-73.97261299999998,Gravesend (South),Fire Damage
40.651296,-73.882108,Spring Creek-Starrett City,Fire Damage
40.665153,-73.95373499999998,Crown Heights (South),Fire Damage
40.726182,-73.93845299999998,Greenpoint,Habitability
40.852484,-73.917125,University Heights (South)-Morris Heights,Illegal Occupancy
40.673925,-73.87299799999998,East New York-City Line,Fire Damage
40.868591,-73.889601,Bedford Park,Fire Damage
40.683791,-73.823965,South Ozone Park,Illegal Occupancy
40.691661,-73.793023,South Jamaica,Illegal Occupancy
40.689435,-73.85776199999998,Woodhaven,Illegal Occupancy
40.681883,-73.889618,Cypress Hills,Illegal Occupancy
40.687602,-73.913393,Bushwick (East),Habitability
40.826809,-73.89040799999998,Crotona Park East,Fire Damage
40.823326,-73.899327,Longwood,Illegal Occupancy
40.710764,-73.746072,Queens Village,Illegal Occupancy
40.705749,-73.920157,Bushwick (West),Fire Damage
40.824597,-73.943168,Hamilton Heights-Sugar Hill,Fire Damage
40.635264,-73.944032,East Flatbush-Farragut,Illegal Occupancy
