principal_name,status_descriptions,grades_text,community_school_sup_name,census_tract,:@computed_region_yeji_bk3q,nta_name,nta,state_code,location_type_description,open_date,principal_title
Larry Gabbard,Open,"09,10,11,SE",,12700,4,Clinton                                                                    ,MN15,NY,Career Technical,2013-07-01T00:00:00.000,PRINCIPAL
LI YAN,Open,"09,10,11,12",,1800,4,Chinatown                                                                  ,MN27,NY,General Academic,2003-07-01T00:00:00.000,PRINCIPAL
MARCIA HENDRICKS,Open,"0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",21600,4,Central Harlem South                                                       ,MN11,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
SUSAN FELDER,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",6400,4,Gramercy                                                                   ,MN21,NY,General Academic,1899-07-01T00:00:00.000,PRINCIPAL
JACQUELINE GETZ,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","LABOY, BONNIE",2500,4,Chinatown                                                                  ,MN27,NY,General Academic,1966-07-01T00:00:00.000,PRINCIPAL
ABBE FUTTERMAN,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",2601,4,Lower East Side                                                            ,MN28,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
JOSHUA SOLOMON,Open,"09,10,11,12,SE",,12700,4,Clinton                                                                    ,MN15,NY,Career Technical,2009-07-01T00:00:00.000,PRINCIPAL
JANETTE CESAR,Open,"0K,01,02,03,04,05,06,07,08","ESTRELLA, ALEXANDRA",17000,4,East Harlem South                                                          ,MN33,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Steven Aragona,Open,"09,10,11,12,SE",,3001,4,Chinatown                                                                  ,MN27,NY,General Academic,1996-06-05T00:00:00.000,I.A. PRINCIPAL
Kimberly Swanson,Open,"06,07,08,09,10,11,12,SE",,15601,4,Yorkville                                                                  ,MN32,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
RUTH LACEY,Open,"09,10,11,12,SE",,12900,4,Clinton                                                                    ,MN15,NY,General Academic,1996-06-05T00:00:00.000,PRINCIPAL
GEORGE MORGAN,Open,"06,07,08,SE","PHILLIPS, DANIELLA",4000,4,East Village                                                               ,MN22,NY,General Academic,2005-07-01T00:00:00.000,PRINCIPAL
Edward Gilligan,Open,"PK,0K,01,02,03,04,05,08,SE","LABOY, BONNIE",13300,4,Clinton                                                                    ,MN15,NY,General Academic,1958-07-01T00:00:00.000,Acting Principal
Dr. Natalia Russo,Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",18900,4,Upper West Side                                                            ,MN12,NY,General Academic,1961-07-01T00:00:00.000,PRINCIPAL
Doreen Esposito,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",13800,4,Yorkville                                                                  ,MN32,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Patricia Carney,Open,"PK,0K,01,02,03,04,05","LABOY, BONNIE",5400,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2014-07-01T00:00:00.000,PRINCIPAL
VERONICA NAJJAR,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",31703,4,Battery Park City-Lower Manhattan                                          ,MN25,NY,General Academic,1998-07-01T00:00:00.000,PRINCIPAL
Doreen Conwell,Open,"09,10,11,12,SE",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,1997-12-04T00:00:00.000,PRINCIPAL
LAURA GARCIA,Open,"PK,0K,01,02,03,04,05,06,07,08","LABOY, BONNIE",11800,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
JOHN CURRY,Open,"06,07,08,SE","ALTSCHUL, ILENE",17700,4,Upper West Side                                                            ,MN12,NY,General Academic,1999-06-28T00:00:00.000,PRINCIPAL
A ANNE GEIGER,Open,"09,10,11,12,SE",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,2001-07-01T00:00:00.000,PRINCIPAL
Adam Grumbach,Open,"09,10,11,12",,11800,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,Transfer School,1999-07-01T00:00:00.000,PRINCIPAL
Carlina Santos Barton,Open,"PK,0K,01,02,03,04,05,SE","ESTRELLA, ALEXANDRA",16400,4,East Harlem South                                                          ,MN33,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
BROOKE JACKSON,Open,"09,10,11,12,SE",,8300,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Dyanthe Spielberg,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",3200,4,East Village                                                               ,MN22,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
DAVID GETZ,Open,"06,07,08,SE","LABOY, BONNIE",15400,4,Yorkville                                                                  ,MN32,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
Medea Mcevoy,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",11000,4,Lenox Hill-Roosevelt Island                                                ,MN31,NY,General Academic,2010-07-01T00:00:00.000,PRINCIPAL
Victoria Armas,Open,"06,07,08,SE","LABOY, BONNIE",10300,4,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,MN13,NY,General Academic,2014-07-01T00:00:00.000,PRINCIPAL
ALICE HOM,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",1600,4,Chinatown                                                                  ,MN27,NY,General Academic,1976-07-01T00:00:00.000,PRINCIPAL
ESTER QUINONES,Open,"0K,01,02,03,04,05,06,07,08,SE","ESTRELLA, ALEXANDRA",16200,4,East Harlem South                                                          ,MN33,NY,General Academic,1975-07-01T00:00:00.000,PRINCIPAL
DAPHNA GUTMAN,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",1402,4,Lower East Side                                                            ,MN28,NY,General Academic,1976-07-01T00:00:00.000,PRINCIPAL
LAUREN FONTANA,Open,"0K,01,02,03,04,05,SE","LABOY, BONNIE",14200,4,Upper East Side-Carnegie Hill                                              ,MN40,NY,General Academic,1953-07-01T00:00:00.000,PRINCIPAL
Iris Chiu,Open,"PK,0K,01,02,03,04,05,06,07,08,SE","PHILLIPS, DANIELLA",201,4,Lower East Side                                                            ,MN28,NY,General Academic,1999-06-22T00:00:00.000,PRINCIPAL
Donny Lopez,Open,"PK,0K,01,02,03,04,05,SE","ALTSCHUL, ILENE",18500,4,Upper West Side                                                            ,MN12,NY,General Academic,1958-07-01T00:00:00.000,PRINCIPAL
CORDELIA VEVE,Open,"09,10,11,12,SE",,15100,4,Lincoln Square                                                             ,MN14,NY,General Academic,2004-09-08T00:00:00.000,PRINCIPAL
VADEWATIE RAMSUCHIT,Open,"09,10,11,12,SE",,5000,4,Gramercy                                                                   ,MN21,NY,General Academic,2010-07-01T00:00:00.000,I.A. PRINCIPAL
Nancy Emerick,Open,"PK,0K,01,02,03,04,05,SE","LABOY, BONNIE",15801,4,Upper East Side-Carnegie Hill                                              ,MN40,NY,General Academic,1960-07-01T00:00:00.000,PRINCIPAL
Bradley Goodman,Open,"PK,0K,01,02,03,04,05,SE","PHILLIPS, DANIELLA",2800,4,Lower East Side                                                            ,MN28,NY,General Academic,1999-07-01T00:00:00.000,PRINCIPAL
